degree,rho_up,rho_down,rho_roll,rho_slide
0.0,0.06479303878447089,0.0,0.0,0.0
0.25,0.07186090775837012,0.0,0.007738084012491104,0.010908377024482973
0.5,0.0789290458653105,0.0,0.015476462678730098,0.02181716942235405
0.75,0.08599772227932727,0.0,0.023215430697346346,0.03272679263027073
1.0,0.09306720625645737,0.0,0.030955282856746657,0.0436376622114498
1.25,0.10013776717577329,0.0,0.03869631408004037,0.054550193918998194
1.5,0.10720967458045692,0.0,0.04643881947000801,0.06546480375930532
1.75,0.11428319821892656,0.0,0.05418309435412814,0.07638190805551738
2.0,0.12135860808603033,0.0,0.06192943432967706,0.0873019235111145
2.25,0.12843617446431965,0.0,0.06967813530891592,0.09822526727361092
2.5,0.13551616796541566,0.007321885802366395,0.07742949356437996,0.10915235699839924
2.75,0.14259885957148288,0.01606688893820408,0.0851838057742847,0.1200836109127596
3.0,0.14968452067682286,0.02481555851638319,0.09294136906806386,0.1310194478800544
3.25,0.1567734231296017,0.033568230187979685,0.10070248107205376,0.14196028746412964
3.5,0.16386583927372564,0.042325240216159944,0.10846743995533957,0.15290654999394437
3.75,0.17096204199087725,0.05108692552808336,0.11623654447577798,0.1638586566284489
4.0,0.1780623047427277,0.059853623767021275,0.12401009402621184,0.17481702942173344
4.25,0.18516690161333726,0.06862567334470937,0.13178838868089174,0.18578209138846877
4.5,0.19227610735175987,0.07740341349395137,0.13957172924212016,0.1967542665696604
4.75,0.1993901974148646,0.08618718432149053,0.14736041728713395,0.20773398009873875
5.0,0.2065094480103888,0.09497732686116774,0.15515475521523953,0.21872165826800585
5.25,0.21363413614023755,0.10377418312738312,0.16295504629521868,0.22971772859546297
5.5,0.22076453964404355,0.11257809616887963,0.1707615947130188,0.24072261989203994
5.75,0.22790093724300256,0.12138941012286661,0.17857470561974514,0.2517367623292495
6.0,0.2350436085839991,0.13020847026950153,0.18639468517997057,0.2627605875072897
6.25,0.24219283428403696,0.139035623086749,0.19422184062037956,0.2737945285236173
6.5,0.24934889597499085,0.14787121630563518,0.20205648027876327,0.28483902004201617
6.75,0.2565120763486935,0.15671559896591672,0.2098989136533818,0.2958944983621833
7.0,0.26368265920237405,0.16556912147218417,0.21774945145271188,0.30696140148985795
7.25,0.2708609294844639,0.1744321356504179,0.22560840564559578,0.3180401692075169
7.5,0.2780471733407858,0.18330499480501822,0.23347608951181062,0.32913124314566145
7.75,0.28524167816114243,0.19218805377632767,0.24135281769307432,0.34023506685472116
8.0,0.2924447326263199,0.20108166899866722,0.24923890624450692,0.35135208587759836
8.25,0.2996566267555252,0.20998619855890663,0.2571346726865657,0.36248274782288137
8.5,0.30687765195427213,0.21890200225558928,0.26504043605747213,0.3736275024387507
8.75,0.3141081010627339,0.22782944165863359,0.2729565169661498,0.38478680168760554
9.0,0.32134826840458075,0.23676888016963207,0.28088323764569245,0.3959610998214379
9.25,0.328598449836318,0.24572068308277004,0.2888209220073813,0.40715085345798047
9.5,0.33585894279714507,0.25468521764638585,0.2967698956952715,0.4183565216576576
9.75,0.3431300463593527,0.2636628531251963,0.3047304861413682,0.42957856600136646
10.0,0.35041206127927643,0.2726539608632097,0.3127030226214123,0.44081745066911876
10.25,0.35770529004882656,0.28165891434734924,0.3206878363112962,0.4520736425195696
10.5,0.36501003694761336,0.29067808927181193,0.328685260344132,0.46334761117046686
10.75,0.3723266080956868,0.29971186360318697,0.33669562986799234,0.4746398290800482
11.0,0.37965531150691173,0.3087606176463577,0.34471928210434705,0.4859507716294192
11.25,0.38699645714299846,0.31782473411121337,0.3527565564072169,0.49728091720594264
11.5,0.3943503569682093,0.32690459818019524,0.36080779432306803,0.5086307472876714
11.75,0.40171732500476315,0.33600059757670436,0.36887333965147,0.5200007465288586
12.0,0.40909767738895886,0.3451131226343979,0.3769535385065415,0.5313914028465767
12.25,0.4164917324280405,0.3542425663673998,0.3850487393792073,0.5428032075084822
12.5,0.4238998106578257,0.3633893245414553,0.39315929320029197,0.554236655221758
12.75,0.4313222349011218,0.3725537957460569,0.4012855534044748,0.5656922442232712
13.0,0.438759330326952,0.38173638146757094,0.4094278759951324,0.5771704763709815
13.25,0.44621142451061624,0.39093748616339513,0.41758661961009463,0.5886718572366372
13.5,0.4536788474946109,0.40015751733717586,0.42576214558834136,0.6001968961997978
13.75,0.46116193185043264,0.4093968856151177,0.43395481803766683,0.6117461065432206
14.0,0.4686610127412927,0.4186560048234162,0.4421650039033406,0.6233200055496516
14.25,0.47617642798576626,0.4279352920668464,0.4503930730377929,0.6349191146000613
14.5,0.48370851812240506,0.4372351678085399,0.4586393982713537,0.6465439592733657
14.75,0.49125762647534077,0.446556055950985,0.46690435548407744,0.6581950694476769
15.0,0.4988240992209055,0.45589838391828386,0.4751883236786806,0.6698729794031242
15.25,0.5064082854553006,0.46526258273970256,0.4834916850546274,0.6815782279262917
15.5,0.5140105372633413,0.4746490871345501,0.4918148250833931,0.6933113584163177
15.75,0.5216312097883076,0.48405833559842393,0.5001581325849382,0.7050729189927003
16.0,0.5292706613029335,0.49349077049085943,0.5085219998054302,0.7168634626048611
16.25,0.536929253281564,0.5029468381244236,0.5169068224962418,0.72868354714351
16.5,0.5446073504735143,0.5124269888552901,0.5253129999942671,0.7405337355538663
16.75,0.5523053209776628,0.5219316771753407,0.533740935303588,0.7524145959507837
17.0,0.5600235363183133,0.5314613618058313,0.5421910351785298,0.7643267017358342
17.25,0.567762371522359,0.5410165057926669,0.5506637102081424,0.7762706317164009
17.5,0.5755222051977877,0.5505975766033319,0.5591593749021497,0.7882469702268412
17.75,0.5833034196135597,0.560205046225515,0.5676784477784019,0.8002563072517684
18.0,0.5911064007809007,0.5698393912674834,0.576221351451878,0.8122992385515175
18.25,0.5989315385360466,0.5795010930602443,0.5847885127252752,0.8243763657898506
18.5,0.6067792266244771,0.5891906377615522,0.5933803626812315,0.8364882966639621
18.75,0.6146498627866841,0.5989085164618039,0.6019973367762264,0.8486356450368503
19.0,0.6225438488455102,0.6086552252918779,0.6106398749362018,0.8608190310721154
19.25,0.630461590795106,0.6184312655329677,0.6193084216539539,0.8730390813712521
19.5,0.6384034988915454,0.6282371437284668,0.6280034260883426,0.8852964291135038
19.75,0.646369987745147,0.6380733717979566,0.6367253421653656,0.8975917141983496
20.0,0.6543614764145459,0.647940467153357,0.6454746286811516,0.9099255833906917
20.25,0.6623783885025645,0.6578389528172985,0.6542517494069224,0.9222986904688208
20.5,0.6704211522539313,0.6677693575437758,0.6630571731959771,0.9347116963752323
20.75,0.678490200654897,0.6777322159411431,0.6718913740927551,0.9471652693703718
21.0,0.6865859715348005,0.6877280685975186,0.6807548314440324,0.9596600851893891
21.25,0.6947089076696361,0.6977574622086583,0.6896480300123106,0.972196827201982
21.5,0.7028594568876793,0.7078209497083723,0.6985714600914574,0.9847761865754154
